Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
jindal,Adair,0%,N,
jindal,Adams,0%,N,
jindal,Allamakee,0%,N,
jindal,Appanoose,0%,N,
jindal,Audubon,0%,N,
jindal,Benton,0%,N,
jindal,Black Hawk,0%,N,
jindal,Boone,0%,N,
jindal,Bremer,0%,N,
jindal,Buchanan,0%,N,
jindal,Buena Vista,0%,N,
jindal,Butler,0%,N,
jindal,Calhoun,0%,N,
jindal,Carroll,0%,N,
jindal,Cass,0%,N,
jindal,Cedar,0%,N,
jindal,Cerro Gordo,0%,N,
jindal,Cherokee,0%,N,
jindal,Chickasaw,0%,N,
jindal,Clarke,0%,N,
jindal,Clay,0%,N,
jindal,Clayton,0%,N,
jindal,Clinton,0%,N,
jindal,Crawford,0%,N,
jindal,Dallas,0%,N,
jindal,Davis,0%,N,
jindal,Decatur,0%,N,
jindal,Delaware,0%,N,
jindal,Des Moines,0%,N,
jindal,Dickinson,0%,N,
jindal,Dubuque,0%,N,
jindal,Emmet,0%,N,
jindal,Fayette,0%,N,
jindal,Floyd,0%,N,
jindal,Franklin,0%,N,
jindal,Fremont,0%,N,
jindal,Greene,0%,N,
jindal,Grundy,0%,N,
jindal,Guthrie,0%,N,
jindal,Hamilton,0%,N,
jindal,Hancock,0%,N,
jindal,Hardin,0%,N,
jindal,Harrison,0%,N,
jindal,Henry,0%,N,
jindal,Howard,0%,N,
jindal,Humboldt,0%,N,
jindal,Ida,0%,N,
jindal,Iowa,0%,N,
jindal,Jackson,0%,N,
jindal,Jasper,0%,N,
jindal,Jefferson,0%,N,
jindal,Johnson,0%,N,
jindal,Jones,0%,N,
jindal,Keokuk,0%,N,
jindal,Kossuth,0%,N,
jindal,Lee,0%,N,
jindal,Linn,0%,N,
jindal,Louisa,0%,N,
jindal,Lucas,0%,N,
jindal,Lyon,0%,N,
jindal,Madison,0%,N,
jindal,Mahaska,0%,N,
jindal,Marion,0%,N,
jindal,Marshall,0%,N,
jindal,Mills,0%,N,
jindal,Mitchell,0%,N,
jindal,Monona,0%,N,
jindal,Monroe,0%,N,
jindal,Montgomery,0%,N,
jindal,Muscatine,0%,N,
jindal,O'Brien,0%,N,
jindal,Osceola,0%,N,
jindal,Page,0%,N,
jindal,Palo Alto,0%,N,
jindal,Plymouth,0%,N,
jindal,Pocahontas,0%,N,
jindal,Polk,0%,N,
jindal,Pottawattamie,0%,N,
jindal,Poweshiek,0%,N,
jindal,Ringgold,0%,N,
jindal,Sac,0%,N,
jindal,Scott,0%,N,
jindal,Shelby,0%,N,
jindal,Sioux,0%,N,
jindal,Story,0%,N,
jindal,Tama,0%,N,
jindal,Taylor,0%,N,
jindal,Union,0%,N,
jindal,Van Buren,0%,N,
jindal,Wapello,0%,N,
jindal,Warren,0%,N,
jindal,Washington,0%,N,
jindal,Wayne,0%,N,
jindal,Webster,0%,N,
jindal,Winnebago,0%,N,
jindal,Winneshiek,0%,N,
jindal,Woodbury,0%,N,
jindal,Worth,0%,N,
jindal,Wright,0%,N,
lessig,Adair,0%,N,
lessig,Adams,0%,N,
lessig,Allamakee,0%,N,
lessig,Appanoose,0%,N,
lessig,Audubon,0%,N,
lessig,Benton,0%,N,
lessig,Black Hawk,0%,N,
lessig,Boone,0%,N,
lessig,Bremer,0%,N,
lessig,Buchanan,0%,N,
lessig,Buena Vista,0%,N,
lessig,Butler,0%,N,
lessig,Calhoun,0%,N,
lessig,Carroll,0%,N,
lessig,Cass,0%,N,
lessig,Cedar,0%,N,
lessig,Cerro Gordo,0%,N,
lessig,Cherokee,0%,N,
lessig,Chickasaw,0%,N,
lessig,Clarke,0%,N,
lessig,Clay,0%,N,
lessig,Clayton,0%,N,
lessig,Clinton,0%,N,
lessig,Crawford,0%,N,
lessig,Dallas,0%,N,
lessig,Davis,0%,N,
lessig,Decatur,0%,N,
lessig,Delaware,0%,N,
lessig,Des Moines,0%,N,
lessig,Dickinson,0%,N,
lessig,Dubuque,0%,N,
lessig,Emmet,0%,N,
lessig,Fayette,0%,N,
lessig,Floyd,0%,N,
lessig,Franklin,0%,N,
lessig,Fremont,0%,N,
lessig,Greene,0%,N,
lessig,Grundy,0%,N,
lessig,Guthrie,0%,N,
lessig,Hamilton,0%,N,
lessig,Hancock,0%,N,
lessig,Hardin,0%,N,
lessig,Harrison,0%,N,
lessig,Henry,0%,N,
lessig,Howard,0%,N,
lessig,Humboldt,0%,N,
lessig,Ida,0%,N,
lessig,Iowa,0%,N,
lessig,Jackson,0%,N,
lessig,Jasper,0%,N,
lessig,Jefferson,0%,N,
lessig,Johnson,0%,N,
lessig,Jones,0%,N,
lessig,Keokuk,0%,N,
lessig,Kossuth,0%,N,
lessig,Lee,0%,N,
lessig,Linn,0%,N,
lessig,Louisa,0%,N,
lessig,Lucas,0%,N,
lessig,Lyon,0%,N,
lessig,Madison,0%,N,
lessig,Mahaska,0%,N,
lessig,Marion,0%,N,
lessig,Marshall,0%,N,
lessig,Mills,0%,N,
lessig,Mitchell,0%,N,
lessig,Monona,0%,N,
lessig,Monroe,0%,N,
lessig,Montgomery,0%,N,
lessig,Muscatine,0%,N,
lessig,O'Brien,0%,N,
lessig,Osceola,0%,N,
lessig,Page,0%,N,
lessig,Palo Alto,0%,N,
lessig,Plymouth,0%,N,
lessig,Pocahontas,0%,N,
lessig,Polk,0%,N,
lessig,Pottawattamie,0%,N,
lessig,Poweshiek,0%,N,
lessig,Ringgold,0%,N,
lessig,Sac,0%,N,
