Candidate,County,Number of Votes,Ten Percent of Vote,Tweet List
bush,Belknap,1741,N,"[""MitchEPerry: @JebBush ad inserted in today's @USATODAY in New Hampshire https://t.co/67jlPoekLc\n"", ""MitchEPerry: @JebBush ad inserted in today's @USATODAY in New Hampshire https://t.co/67jlPoekLc\n"", ""michelledubert: Jeb Bush surprises voters at the Tilt'n Diner five days before the #nhprimary! @ Tilt'n Diner https://t.co/CvgLQhax1X\n""]"
bush,Carroll,1240,N,
bush,Cheshire,1500,N,"['StawceyBentlezz: From one Floridian to another, thank you Governor Jeb Bush for https://t.co/wPZY47SMu6\n', ""FolarinTheGreat: We will be the poster boys for Jeb Bush's Minority Campaign. @ C&amp;S Wholesale Grocers https://t.co/S9MJJlRJVc\n""]"
bush,Coos,562,N,
bush,Grafton,1864,N,"['MegCarpenterTV: Packed house for #Jeb2016 @HanoverInn @WVNYWFFF https://t.co/mMXXK42DqG\n', 'MegCarpenterTV: Packed house for #Jeb2016 @HanoverInn @WVNYWFFF https://t.co/mMXXK42DqG\n', 'MegCarpenterTV: @JebBush arrives @HanoverInn for #Jeb2016 https://t.co/W8ikGbPXU4\n', 'MegCarpenterTV: @JebBush arrives @HanoverInn for #Jeb2016 https://t.co/W8ikGbPXU4\n', 'MegCarpenterTV: @JebBush arrives @HanoverInn for #Jeb2016 https://t.co/W8ikGbPXU4\n', 'Redistrict: ""Put that in your pipe and smoke it, Jeb!"" Kasich exclaims to loud laughs and applause. Too bad I missed the context, but funny anyway.\n', 'Redistrict: ""Put that in your pipe and smoke it, Jeb!"" Kasich exclaims to loud laughs and applause. Too bad I missed the context, but funny anyway.\n']"
bush,Hillsborough,9584,N,"['williamtincup: Poor Jeb Bush... @ Amherst, New Hampshire https://t.co/mppGMQPPGu\n', ""GauntletFilms: Give the clap to Jeb!\nButtons made by the @benjmobile team this week after one of Jeb's speeches https://t.co/nwipwCVigA\n"", 'h_andersen: Ready for Jeb Bush Town Hall #usavalg #fitn2016 #nhprimary #allin4jeb @ Mckelvie Intermediate https://t.co/Krzz8tpGTv\n', 'LimOpinion: Here in Bedford, New Hampshire waiting for Jeb Bush to speak. #AUNH2016 @ Mckelvie Intermediate https://t.co/NzdtdknXxz\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'kylevonende: Huge turnout (200+ stuck outside) for the Jeb Bush rally at McKelvie https://t.co/LZZBzCguxu\n', 'MitchEPerry: @JebBush says questions in tonight\'s GOP debate ""will probably be really stupid"". Hopes ABC moderators will prove him wrong #FlaPol #sayfie\n', 'MitchEPerry: @JebBush says questions in tonight\'s GOP debate ""will probably be really stupid"". Hopes ABC moderators will prove him wrong #FlaPol #sayfie\n', ""MaraTheFree: A sea of people in Bedford, NH this morning welcoming Jeb. He's over https://t.co/sMSF3XinrR\n"", 'h_andersen: Ready for Jeb Bush Town Hall #usavalg #fitn2016 #nhprimary #allin4jeb @ Mckelvie Intermediate https://t.co/Krzz8tpGTv\n', 'LimOpinion: Here in Bedford, New Hampshire waiting for Jeb Bush to speak. #AUNH2016 @ Mckelvie Intermediate https://t.co/NzdtdknXxz\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'MitchEPerry: At @JebBush town hall in Bedford, NH, @LindseyGrahamSC says Dem candidates are so far left, ""They\'re in #SanFrancisco ""\n', 'kylevonende: Huge turnout (200+ stuck outside) for the Jeb Bush rally at McKelvie https://t.co/LZZBzCguxu\n', 'MitchEPerry: @JebBush says questions in tonight\'s GOP debate ""will probably be really stupid"". Hopes ABC moderators will prove him wrong #FlaPol #sayfie\n', 'MitchEPerry: @JebBush says questions in tonight\'s GOP debate ""will probably be really stupid"". Hopes ABC moderators will prove him wrong #FlaPol #sayfie\n', ""MaraTheFree: A sea of people in Bedford, NH this morning welcoming Jeb. He's over https://t.co/sMSF3XinrR\n"", 'JudyBaldasaro: Preemptive strike to prevent nuclear weapons. #JebBush #GOPDebate\n', 'JudyBaldasaro: Preemptive strike to prevent nuclear weapons. #JebBush #GOPDebate\n', 'RealChrisEme: One on one with Jeb. #wsvn #newhampshire @ Saint Anselm College https://t.co/G2mGB2z7zP\n', 'MouniraDC: En attente pour #JebBush dans le #NewHampshire ce matin... Grand https://t.co/js9ebD604p\n', 'MouniraDC: En attente pour #JebBush dans le #NewHampshire ce matin... Grand https://t.co/js9ebD604p\n', 'MouniraDC: #JebBush qui engueule un journaliste qui essayait de faire un https://t.co/rzre7800wS\n', 'MouniraDC: #JebBush qui engueule un journaliste qui essayait de faire un https://t.co/rzre7800wS\n', 'MaraTheFree: Wow! Nashua out in full force for Jeb today. #nhpolitics #fitn https://t.co/ynEXfc6DDa\n', 'JudyBaldasaro: Preemptive strike to prevent nuclear weapons. #JebBush #GOPDebate\n', 'JudyBaldasaro: Preemptive strike to prevent nuclear weapons. #JebBush #GOPDebate\n', 'RealChrisEme: One on one with Jeb. #wsvn #newhampshire @ Saint Anselm College https://t.co/G2mGB2z7zP\n', 'MouniraDC: En attente pour #JebBush dans le #NewHampshire ce matin... Grand https://t.co/js9ebD604p\n', 'MouniraDC: En attente pour #JebBush dans le #NewHampshire ce matin... Grand https://t.co/js9ebD604p\n', 'MouniraDC: #JebBush qui engueule un journaliste qui essayait de faire un https://t.co/rzre7800wS\n', 'MouniraDC: #JebBush qui engueule un journaliste qui essayait de faire un https://t.co/rzre7800wS\n', 'MaraTheFree: Wow! Nashua out in full force for Jeb today. #nhpolitics #fitn https://t.co/ynEXfc6DDa\n', ""Timodc: Go Broncos. Go Jeb. @ddkochel @ Murphy's Taproom https://t.co/GcQwBkHpWw\n"", 'mollyhaigh: Bets on how much Jeb will pay per vote in NH? That #SB50 ad makes me guess more than $2k.\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'LimOpinion: ""Jeb couldn\'t get a job in politics if he tried. Those guys? They\'re U.S. government, not mine."" https://t.co/wIgeyPlzNr\n', ""Timodc: Go Broncos. Go Jeb. @ddkochel @ Murphy's Taproom https://t.co/GcQwBkHpWw\n"", 'mollyhaigh: Bets on how much Jeb will pay per vote in NH? That #SB50 ad makes me guess more than $2k.\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'DraperRobert: Jeb! and Koch Bros! ads hitting @JohnKasich in NH for being an ""Obama Republican""\n', 'LimOpinion: ""Jeb couldn\'t get a job in politics if he tried. Those guys? They\'re U.S. government, not mine."" https://t.co/wIgeyPlzNr\n', 'ChanteeLans: #NewHampshire #primary #elections \n#JebBush campaigning @ Bedford High School (New Hampshire) https://t.co/5Yw3ZrCbmm\n', 'ChanteeLans: #NewHampshire #primary #elections \n#JebBush campaigning @ Bedford High School (New Hampshire) https://t.co/5Yw3ZrCbmm\n', ""mollyhaigh: This giant 3d dice is from @JebBush. If they spend less than $3000 a vote I'll be shocked. #fitn #NHPrimary https://t.co/UybXwG6D3E\n"", ""mollyhaigh: This giant 3d dice is from @JebBush. If they spend less than $3000 a vote I'll be shocked. #fitn #NHPrimary https://t.co/UybXwG6D3E\n"", 'mollyhaigh: This is a 3d, multipart mailer from @JebBush-- to an all Dem household. 4k per vote or bust? #fitn #NHPrimary https://t.co/Ys2UJ9xWOe\n', 'mollyhaigh: This is a 3d, multipart mailer from @JebBush-- to an all Dem household. 4k per vote or bust? #fitn #NHPrimary https://t.co/Ys2UJ9xWOe\n', 'ChanteeLans: #NewHampshire #primary #elections \n#JebBush campaigning @ Bedford High School (New Hampshire) https://t.co/5Yw3ZrCbmm\n', 'ChanteeLans: #NewHampshire #primary #elections \n#JebBush campaigning @ Bedford High School (New Hampshire) https://t.co/5Yw3ZrCbmm\n', ""mollyhaigh: This giant 3d dice is from @JebBush. If they spend less than $3000 a vote I'll be shocked. #fitn #NHPrimary https://t.co/UybXwG6D3E\n"", ""mollyhaigh: This giant 3d dice is from @JebBush. If they spend less than $3000 a vote I'll be shocked. #fitn #NHPrimary https://t.co/UybXwG6D3E\n"", 'mollyhaigh: This is a 3d, multipart mailer from @JebBush-- to an all Dem household. 4k per vote or bust? #fitn #NHPrimary https://t.co/Ys2UJ9xWOe\n', 'mollyhaigh: This is a 3d, multipart mailer from @JebBush-- to an all Dem household. 4k per vote or bust? #fitn #NHPrimary https://t.co/Ys2UJ9xWOe\n', ""allisonbresnick: Live from Jeb's election night party. Check out the @huffpostpol FB page for our live stream https://t.co/6jyBaBFf6s\n"", ""allisonbresnick: Primary night at Jeb's HQ  @ Manchester Community College https://t.co/Aei77jUgRg\n"", ""WmShaw: (2 seconds before this photo)\nWill Shaw: Thank you for taking on Trump. \nJeb Bush: He's an https://t.co/Lvce99gEiS\n"", ""WmShaw: (2 seconds before this photo)\nWill Shaw: Thank you for taking on Trump. \nJeb Bush: He's an https://t.co/Lvce99gEiS\n"", 'LimOpinion: Jeb Bush addresses primary night supporters in Manchester, NH. #AUNH2016 #NHPrimary #MySOC. @ https://t.co/uzLUtiog3n\n', ""allisonbresnick: Live from Jeb's election night party. Check out the @huffpostpol FB page for our live stream https://t.co/6jyBaBFf6s\n"", ""allisonbresnick: Primary night at Jeb's HQ  @ Manchester Community College https://t.co/Aei77jUgRg\n"", ""WmShaw: (2 seconds before this photo)\nWill Shaw: Thank you for taking on Trump. \nJeb Bush: He's an https://t.co/Lvce99gEiS\n"", ""WmShaw: (2 seconds before this photo)\nWill Shaw: Thank you for taking on Trump. \nJeb Bush: He's an https://t.co/Lvce99gEiS\n"", 'LimOpinion: Jeb Bush addresses primary night supporters in Manchester, NH. #AUNH2016 #NHPrimary #MySOC. @ https://t.co/uzLUtiog3n\n']"
bush,Merrimack,3814,N,"['Alli_Lahiff: John Ellis ""Jeb"" Bush visits CSC  @ Colby-Sawyer College https://t.co/AJdJflG8K0\n', 'Maddie_Marshall: On the trail with Jeb! (emphasis his) @ Globe Manufacturing https://t.co/E81RFAV6NV\n', ""ameliabeamer: Covering Jebas he tours and speaks at Globe Manufacturing's Pittsfield, NH plant where they https://t.co/Bp7z6GvB9c\n"", 'Philip_Elliott: Who does one ""Jeb!""? @ Abbott-Downing School https://t.co/bZgw5qWTmV\n', 'Philip_Elliott: Jeb (!) Bush town hall, Concord, N.H. #nh #fitn @ Abbott-Downing School https://t.co/8kDoAzMWUQ\n', 'Philip_Elliott: Who does one ""Jeb!""? @ Abbott-Downing School https://t.co/bZgw5qWTmV\n', 'Philip_Elliott: Jeb (!) Bush town hall, Concord, N.H. #nh #fitn @ Abbott-Downing School https://t.co/8kDoAzMWUQ\n']"
bush,Rockingham,7748,N,"['MitchEPerry: @JebBush calls concern about GMO\'s a ""growing movement that I find intriguing.""\n', 'MitchEPerry: @JebBush calls concern about GMO\'s a ""growing movement that I find intriguing.""\n', 'MitchEPerry: @JebBush calls concern about GMO\'s a ""growing movement that I find intriguing.""\n', 'MitchEPerry: @JebBush calls concern about GMO\'s a ""growing movement that I find intriguing.""\n', 'erikbergin: Jeb Bush at town hall meeting with voters in Salem, NH, trying to keep the momentum after a https://t.co/7C2g8j7F03\n', ""NeilACarousso: Reporting at Jeb Bush's #Salem #TownHall this morning #NHPrimary #politics @ Woodbury School https://t.co/anO8MNhYiN\n"", 'erikbergin: Jeb Bush at town hall meeting with voters in Salem, NH, trying to keep the momentum after a https://t.co/7C2g8j7F03\n', ""NeilACarousso: Reporting at Jeb Bush's #Salem #TownHall this morning #NHPrimary #politics @ Woodbury School https://t.co/anO8MNhYiN\n"", ""ameliabeamer: Final town hall for jebbush before tomorrow's NH primary! Wife Columba, son Jeb 2.0 in https://t.co/I8fAuWA0FQ\n"", ""ameliabeamer: Final town hall for jebbush before tomorrow's NH primary! Wife Columba, son Jeb 2.0 in https://t.co/I8fAuWA0FQ\n"", 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'JudyBaldasaro: @realDonaldTrump Jeb, so was Reagan !! Trump is the man we have been waiting for!! https://t.co/A8VMaR2xVo\n', 'gardeniagirl: #GOPDebate Jeb and  I miss Chris Christy.\n', 'gardeniagirl: #GOPDebate Jeb and  I miss Chris Christy.\n']"
bush,Strafford,2444,N,
bush,Sullivan,844,N,"['andrewlamberson: Mark Sheppard of Newport, N.H., who just cast his ballot for #JebBush in the #NHprimary @ https://t.co/rj4HcotAjd\n', 'andrewlamberson: Mark Sheppard of Newport, N.H., who just cast his ballot for #JebBush in the #NHprimary @ https://t.co/rj4HcotAjd\n', 'andrewlamberson: Mark Sheppard of Newport, N.H., who just cast his ballot for #JebBush in the #NHprimary @ https://t.co/rj4HcotAjd\n', 'andrewlamberson: Mark Sheppard of Newport, N.H., who just cast his ballot for #JebBush in the #NHprimary @ https://t.co/rj4HcotAjd\n']"
