Candidate,Belknap,Carroll,Cheshire,Coos,Grafton,Hillsborough,Merrimack,Rockingham,Strafford,Sullivan,Other,Total
Bush,1741,1240,1500,562,1864,9584,3814,7748,2444,844,0,31341
Carson,390,280,517,174,470,1729,753,1447,528,239,0,6527
Christie,1002,883,754,355,1068,7155,2376,5783,1225,488,0,21089
Clinton,3495,3230,5132,2013,6918,28147,12250,22829,8813,2497,0,95324
Cruz,2019,1357,1888,601,1726,9606,3781,7991,3324,951,0,33244
Gilmore,5,4,5,3,10,44,21,21,12,9,0,134
Graham,4,4,5,5,4,16,11,16,5,3,0,73
Huckabee,9,8,7,7,23,49,31,43,32,7,0,216
Jindal,0,2,5,1,2,11,10,13,9,0,0,53
Kasich,2464,2279,2177,943,3475,12517,6178,10370,3195,1334,0,44932
Lessig,0,0,0,0,0,0,0,0,0,0,0,0
O'Malley,35,20,42,20,41,202,78,123,72,27,0,660
Paul,79,61,115,39,143,635,196,417,193,52,0,1930
Rubio,1511,1430,1237,614,1926,8824,3062,8074,2505,888,0,30071
Sanders,6005,5638,12441,3639,14245,39245,18107,31065,15881,5915,0,152181
Santorum,12,9,9,6,9,45,11,43,11,5,0,160
Trump,5508,4170,4533,2184,4897,29328,10959,28718,7358,3080,0,100735
